Number,Dialogue,Reponse,URL,hash,work_id,title,author,fandom,words,category,Banter
22,"""You're kidding me, right,"" Jason scoffs. ""Are you forgetting the time you once sneezed it out of place?""","""Hay fever sucks, what's your point?""",https://archiveofourown.org/works/32927371,0x2c337379a0baa6b03a0322fc750ad1d98b03ae4dca48134addcfaae7d3511cae,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
23,"""Hay fever sucks, what's your point?""","""And denial is a river in Africa..."" Jason mutters under his breath.",https://archiveofourown.org/works/32927371,0x7babd2c9cb2fb5126af2c884959f3f8ff8931ed18c26375d2f7920d8611a9f44,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
26,"Dick opens the fridge dutifully. ""Having second thoughts about ruining B's birthday dinner?""","""God no,"" Jason scoffs, side-stepping over to snag the requested ingredients as his brother deposits them onto the counter one by one. ""I'm just making  me  lobster thermidor, and  you  an omelette.""",https://archiveofourown.org/works/32927371,0x6c491b51cec8de9309451dc95cf8b11c231a728171238235a3790e0e87d1f489,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
30,"Dick rolls his eyes, but gets one out of the cupboard anyway. ""I wouldn't have hurled."" He hands Jason the metal bowl. ""Also I hate green pepper.""","""Sorry, what was that?"" Jason mocks, still chopping away. ""Extra pepper you say?"" He dumps a generous handful into the bowl with the onion, receiving a very unamused look from his brother in return.",https://archiveofourown.org/works/32927371,0x346ddc0c31a136776c94e0d6c8d250c62c422d77dfd00289ca702126b8571583,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
31,"""Sorry, what was that?"" Jason mocks, still chopping away. ""Extra pepper you say?"" He dumps a generous handful into the bowl with the onion, receiving a very unamused look from his brother in return.","Dick closes the fridge again and goes back to leaning against it. He's quiet for a moment while Jason cracks the eggs and whisks them together with the veggies, then admits, ""B's been pushing me to get the surgery again.""",https://archiveofourown.org/works/32927371,0x4755c40e042c593d20bbc9f4df1910a48cd672b73f7918824a0c8cb39fab1e30,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
36,"""It's not  that  bad.""","""Not that good either,"" Jason points out. ""Why don't you just do it and get it over with?""",https://archiveofourown.org/works/32927371,0xd6e9386dc8f70008f56a85375599b0320d93a74523947d00609f037e7096a109,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
37,"""Not that good either,"" Jason points out. ""Why don't you just do it and get it over with?""","""Eh..."" Dick makes a dismissive gesture.",https://archiveofourown.org/works/32927371,0x1b2aea9c5a9a7cd3748dd2d0b58979d45d23022808a678e9a38170272f96092f,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
44,"""CVS was out of cherry.""","""You could've gone to-"" Tim breaks into another coughing fit, this one going on long enough that Dick takes pity on him and limps over to help him cross the kitchen and collapse down onto the breakfast nook bench. Jason, meanwhile, starts the kettle going for tea.",https://archiveofourown.org/works/32927371,0x546e061c88063b06ae26edc463c75817a47e0e6958b6108003d10933241fccd0,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
47,"Jason snorts, sliding the omelette off the pan and onto a plate. ""Your problem is you're trying to buy it in Bristol. Go to Crime Alley and I guarantee you, no one is carding minors for cough syrup.""","""Yeah, no one's carding them for handguns either,"" Dick mutters.",https://archiveofourown.org/works/32927371,0x9f92d4a68266512efeacee17f40f9d29f20e4667edab526573322b50d9d0c9c5,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
49,"Tossing a fork onto the plate, Jason slides it across the counter at Dick--who for some reason has gone back to leaning against the fridge. ""Bon appetit, dumbass. Get the surgery.""","""Mind your business,"" Dick grumbles. He pokes at the eggs a bit, looking unenthused.",https://archiveofourown.org/works/32927371,0x835102e0ee97b6fca0ae0483997697da779091e5c177381c7e3c7be4c4ef7dc5,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
51,"""Want some eggs?"" he offers, mostly because there's still half a diced onion on the counter and Jason hates being wasteful.","Tim shakes his head, the coughs finally subsiding. ""'M allergic,"" he rasps out.",https://archiveofourown.org/works/32927371,0xa64ba15fab3520800f6abf366670c2f11e99887d69d9a82a82591a33824efb6f,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
52,"Tim shakes his head, the coughs finally subsiding. ""'M allergic,"" he rasps out.","Jason blinks at him. ""Since when?""",https://archiveofourown.org/works/32927371,0xb19fc18d16617b10ddefa80ba242f1d01f1a317806d3dab5db8152cf257d1211,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
53,"Jason blinks at him. ""Since when?""","""...Since ever?""",https://archiveofourown.org/works/32927371,0xf6c555aafe0ec05cc8a9a8f64d2ad917d2b0349ed991bfd2d8a231dc5aec6996,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
54,"""...Since ever?""","Jason stares at him. ""But I've seen you eat eggs before. Like, many times.""",https://archiveofourown.org/works/32927371,0xe6ac07144eb68778db092ff96e367cf75e349c99cd96b9734c54516d85a9a4ef,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
55,"Jason stares at him. ""But I've seen you eat eggs before. Like, many times.""","Tim flaps a hand dismissively. ""I'm not deathly allergic. I eat 'em whenever Alfie makes them not to be rude. I just usually throw up after.""",https://archiveofourown.org/works/32927371,0x0b6bf4dac237c32968c454a659a9e2eb6eba7f5864c325b5e40f7e4c0a44d11d,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
56,"Tim flaps a hand dismissively. ""I'm not deathly allergic. I eat 'em whenever Alfie makes them not to be rude. I just usually throw up after.""","""Timmy!"" Dick whirls his head around in shock. ""What the hell?""",https://archiveofourown.org/works/32927371,0xf405b13d21c8012eda9067224da9b94910715f4a7316086b42e05a84d1981bf7,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
62,"""I already take vitamins.""","""I don't think Flintstones chewables count."" Jason measures out a cup full of cornmeal and sets it aside.",https://archiveofourown.org/works/32927371,0x3418dad453128b58f9b36e75d36fe21b54ba1c9caba591d2f30601997cd377a4,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
65,"""You do know you're twenty-eight, right?""","""I'm a child at heart."" He stabs a piece of pepper with the fork and brings it warily to his lips, then immediately shudders. ""Eugh. Yeah, no, still nasty."" He pushes the plate away.",https://archiveofourown.org/works/32927371,0x7e5c18e1bfdec36e6438614f871847dc9841138dc446d404c9bfe59f53981cfa,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
67,"Jason rolls his eyes. ""This is the last time I cook for you.""","""Not like I asked.""",https://archiveofourown.org/works/32927371,0x7472852e03d41e1cf4631d06fc428b4144909b5be048bc2c9562e65482d3e96f,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
68,"""Not like I asked.""","""You took Vicodin, moron. You need to eat or you're gonna fucking hurl.""",https://archiveofourown.org/works/32927371,0x42bd512883628b585fad9351326972159185e78463f44bfc75de66638af858de,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
71,"""Yes you will,"" Tim says tiredly, head hunched over the steaming mug of tea. ""You've got the weakest stomach out of any of us. And you're the whiniest when you're sick.""","Dick scoffs. ""That's rich coming from Mr. 'I've Been Puking Eggs Twice a Month for the Past Four Years.'""",https://archiveofourown.org/works/32927371,0xa4242634a7ebb6760a928543cc265739204d1f383019115ec211c6650a88ea1a,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
76,"Tim covers his face with his hands.  ""You're such an ass, Jay,"" he mutters into them.","""-and for  you,  I'm making grits,"" he finishes, nodding to the pot of corn mush he's stirring. ""You're fucking welcome.""",https://archiveofourown.org/works/32927371,0xb719430d63f181e2e60390d8b6642181adc84692b19446fe4c5003a8e61c2b5d,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
77,"""-and for  you,  I'm making grits,"" he finishes, nodding to the pot of corn mush he's stirring. ""You're fucking welcome.""","""Grits?"" Tim looks up again, wrinkling his nose. ""That's like, baby food.""",https://archiveofourown.org/works/32927371,0xfab8e2fe6550499436e1e2637dcb1feaf29b595fd946b90710c55cf4148a3f6f,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
78,"""Grits?"" Tim looks up again, wrinkling his nose. ""That's like, baby food.""","""Uh,  excuse me?""  Jason balks at him. ""I think you mean a fucking delicious southern staple.""",https://archiveofourown.org/works/32927371,0xada789a486fef09a199478eeb330df32c93c989edd6a3d60b8c7027877dd2a0c,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
79,"""Uh,  excuse me?""  Jason balks at him. ""I think you mean a fucking delicious southern staple.""","""I'm not even hungry.""",https://archiveofourown.org/works/32927371,0xa114ab4d4a94fb4537f3887ed15a6f03845aa248e76064a94eb66095ca9d2a39,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
80,"""I'm not even hungry.""","Jason points his spatula at him threateningly. ""Do I look like I care?""",https://archiveofourown.org/works/32927371,0x075323d0d6daeb4f62c2c18b8e631d361d444f853209823216d0a4b87166fe78,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
81,"Jason points his spatula at him threateningly. ""Do I look like I care?""","As Tim's getting his breath back, Jason unwraps the lobsters and drops them into the boiling stock. He covers the pot, then checks the cookbook and turns to Dick. ""I need the mushrooms, a lemon, and some butter,"" he orders, pointing to the fridge.",https://archiveofourown.org/works/32927371,0xa066ffc43833f5ecc75596551aa20d79febc0998628e7538c322848246364e45,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
82,"As Tim's getting his breath back, Jason unwraps the lobsters and drops them into the boiling stock. He covers the pot, then checks the cookbook and turns to Dick. ""I need the mushrooms, a lemon, and some butter,"" he orders, pointing to the fridge.","""Here,"" Dick says, handing over the items. Then he closes the door again and goes back to leaning.",https://archiveofourown.org/works/32927371,0x89193a72279e6a79b59977989c0394044c12e642f289f4396feceab7bf734226,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
84,"""Why aren't you sitting down?"" Jason asks. He gestures over at the breakfast nook. ""I know Tiny Tim's got the plague over there, but I would've thought your ironclad Flintstones immune system could take it.""","""What?"" Jason gives him a quizzical look. ""It wasn't  that  funny.""",https://archiveofourown.org/works/32927371,0x6c9b3313d85f5e415eefefb3108768a558ae60fd2ff66169956a823dbd626d0a,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
89,"Cassandra emerges from the shadows on the far end of the kitchen, grinning. ""Long time. Heard you come in.""","""'S that why you're up?"" Tim rasps out. ""We bein' too loud?""",https://archiveofourown.org/works/32927371,0xff6475f63c40094e5291c30a08cc14b7ed7676e2a7113a2e96d30fda083afdfc,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
90,"""'S that why you're up?"" Tim rasps out. ""We bein' too loud?""","She shakes her head. ""Up before, too. Not a sleeping night.""",https://archiveofourown.org/works/32927371,0x52ec5c03b7b40ca853e118363d51a2df0365a6a0c07871a38f120870479431eb,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
93,"""Cass...""  he whines.","""Wait, wait..."" Jason feels the corners of his mouth spreading into a shit-eating grin. ""Dickhead... is she saying you  literally got your ass kicked?""",https://archiveofourown.org/works/32927371,0x84e748a211ac308c8a258b02fbdda53522ec5fd73f029a513acaf4b0a3620e23,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
98,"""See?!""  both Jason and Tim exclaim in unison, but Dick only scowls.","""Thanks,"" Tim mumbles, and to Jason's surprise, he actually picks up the spoon and starts eating.",https://archiveofourown.org/works/32927371,0x1c7a94ec39f6c3fab3d06af32a2f3106eb86a2795d9d511dae4d9f07fa476cf8,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
99,"""Thanks,"" Tim mumbles, and to Jason's surprise, he actually picks up the spoon and starts eating.","Jason turns to Cass. ""And what would  you like from the short order cook tonight?"" he sighs.",https://archiveofourown.org/works/32927371,0x9e5b20fa0bb4e8727bd33dfd95b2f7d4692aab1501484859bea6e390338586db,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
100,"Jason turns to Cass. ""And what would  you like from the short order cook tonight?"" he sighs.","Her face twists up in thought. ""Meat,"" she answers after a second's deliberation.",https://archiveofourown.org/works/32927371,0x69f683a10be290fe11bf431598798c7e1f0b92bfb238a79d688a1f86b0508b1e,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
102,"""Meat?"" Jason echoes. ""Any particular kind?""","She shrugs. ""Any. Not picky.""",https://archiveofourown.org/works/32927371,0x9762d66c19900b3c87eba1879ef661f35852e95d3d553d18952046d95b11f949,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
103,"She shrugs. ""Any. Not picky.""","""But you don't want grits?""",https://archiveofourown.org/works/32927371,0x7ea95896232ae9724ce51396434b1406341e0f08a9a0f35ea9ff5ef3112623ef,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
107,"Cass shakes her head. ""I have teeth,"" she says simply. ""Want meat.""","""Of course you do..."" Jason mutters under his breath, but it only makes her grin again. ""O Great Guardian of the Fridge,"" he addresses Dick with a mocking little bow. ""Bacon, if you would be so kind.""",https://archiveofourown.org/works/32927371,0x824ac5ea15f01d0f7fde811d03dd8354e96ec2486da496866db4a02a36761314,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
108,"""Of course you do..."" Jason mutters under his breath, but it only makes her grin again. ""O Great Guardian of the Fridge,"" he addresses Dick with a mocking little bow. ""Bacon, if you would be so kind.""","Jason turns back to Cass with a sigh. ""Do you know what a donut pillow is?"" he asks.",https://archiveofourown.org/works/32927371,0x8ba69d6a19db19ded4ca9ab6f505b3d0ceb89c4da0b1173aaae765301cb96a32,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
110,"She nods, swooping her hands around in a circle to outline its shape. ""For sitting.""","""Exactly."" Jason returns the nod. ""The old man keeps one upstairs in his bedroom closet for bad back days. Think you can sneak in and grab it without waking him?""",https://archiveofourown.org/works/32927371,0x2e654a6eed945f6bb41c6819794e0c63572958c3f962222d4ee075931d6035c5,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
113,"""I don't need the donut, Cass,"" Dick grumbles as Jason takes two pans--one larger frying one, and a smaller saute pan--and sets them both on the stove.","Cass shakes her head back and forth a few times. ""Dumb brother..."" she sighs fondly, and then slips out of the room without a single sound.",https://archiveofourown.org/works/32927371,0xfed60bb49aedf7217389f41e87be4369b9e7e2278022e2db647b31bc26bfb541,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
115,"Cass returns a few minutes later, donut pillow tucked under her arm. She skips back through the kitchen and deposits it on the bench opposite Tim at the breakfast nook. ""Sit,"" she says sweetly.","""Mm..."" Dick hums a bit, causing Jason to glance up from the stove. His brother has his eyes closed and is leaning the back of his head against the fridge door, breathing shallowly through his half-open mouth.",https://archiveofourown.org/works/32927371,0x7528ab5f994d20437987159f957271778455a7445c499cb0490fb9cfa5b842af,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
117,"""Well? Go sit down before you fall asleep standing up,"" Jason orders, pointing across the room at the bench. ""You've broken enough bones for one day.""","""Mm-hmm,"" Dick hums again, and slowly pushes himself away from the support of the fridge. He shuffles slowly over to the bench and sits down on the pillow with a sigh, immediately resting his forehead down on the table.",https://archiveofourown.org/works/32927371,0x2bda8385c56b5bed3467979ec9ecc7a1cf94669ed3ae520d7c1b2a06b4a35f90,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
119,"""You didn't bring your omelette,"" Tim points out.","""Don't want it,"" Dick mumbles into the table top.",https://archiveofourown.org/works/32927371,0xf84b42fe3caaed1aacef22efeb88db14f89117825acfb3c25165a1c1babf2d23,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
124,"""Dick...?"" Tim asks warily, pulling the plate back away from him. ""Are you gonna-""","""Trying not to,""  he grits out.",https://archiveofourown.org/works/32927371,0x60bf366f7d478f645962f15c85e5f776c958729b32e385fce42fa30ddf949291,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
126,"""Oh for fuck's sake!"" Jason exclaims in exasperation, abandoning the bacon to move to the pantry. ""What did we fucking tell you! Cass, get a-""","""Bowl,"" she agrees readily, racing over to the appropriate cabinet.",https://archiveofourown.org/works/32927371,0xdd07cc30d7b9aa2caf35adf5a0c2e307f60aaf689161c566034304b884f5ff62,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
127,"""Bowl,"" she agrees readily, racing over to the appropriate cabinet.","""Tim!"" Jason grabs a sleeve of saltines from a box in the pantry and lobs it across the kitchen. Tim--who isn't even looking up--shoots out a hand to catch it on reflex.",https://archiveofourown.org/works/32927371,0x12c33b3d6f94733368ffc1d5248276d5b367885948eca1c1de1d1ae4dbc9f302,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
128,"""Tim!"" Jason grabs a sleeve of saltines from a box in the pantry and lobs it across the kitchen. Tim--who isn't even looking up--shoots out a hand to catch it on reflex.","""Eat,"" Tim orders, and this time Dick obliges, bringing the saltine up to his mouth with a grimace and starting to nibble at it while Jason grabs a can of ginger ale from the fridge and plunks it down in front of him.",https://archiveofourown.org/works/32927371,0xada4ef1a66d0866cc683c8a873cc201b775fe6a56008e76b03ded9bee14b976a,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
